"t_us","t_s","weight_raw_kg","offset_raw_kg","weight_adj_kg","weight_raw_N","weight_adj_N"
54633,0.054633,0.00703132152557373,0,0.00703132152557373,0.0689537092387676,0.0689537092387676
66094,0.066094,0.000748038291931152,0,0.000748038291931152,0.00733574971556663,0.00733574971556663
77557,0.077557,0.00119686126708984,0,0.00119686126708984,0.0117371995449066,0.0117371995449066
89019,0.089019,0.000748038291931152,0,0.000748038291931152,0.00733574971556663,0.00733574971556663
100483,0.100483,0.00508654117584229,0,0.00508654117584229,0.0498819290220737,0.0498819290220737
111945,0.111945,0.00022435188293457,0,0.00022435188293457,0.0022001403927803,0.0022001403927803
123408,0.123408,-0.00613367557525635,0,-0.00613367557525635,-0.0601508095800877,-0.0601508095800877
134870,0.13487,0.00201964378356934,0,0.00201964378356934,0.0198059397101402,0.0198059397101402
146334,0.146334,0.00164568424224854,0,0.00164568424224854,0.0161386493742466,0.0161386493742466
157797,0.157797,0.00568497180938721,0,0.00568497180938721,0.055750528794527,0.055750528794527
169259,0.169259,0.00403928756713867,0,0.00403928756713867,0.0396118794202805,0.0396118794202805
180724,0.180724,0.00329124927520752,0,0.00329124927520752,0.0322761297047138,0.0322761297047138
192188,0.192188,0.000598430633544922,0,0.000598430633544922,0.00586859977245331,0.00586859977245331
203651,0.203651,0.0160822868347168,0,0.0160822868347168,0.157713358187675,0.157713358187675
215114,0.215114,0.00568497180938721,0,0.00568497180938721,0.055750528794527,0.055750528794527
238084,0.238084,0.0103225708007812,0,0.0103225708007812,0.101229838943481,0.101229838943481
249503,0.249503,0.00949978828430176,0,0.00949978828430176,0.0931610987782478,0.0931610987782478
260965,0.260965,-0.00187003612518311,0,-0.00187003612518311,-0.0183387897670269,-0.0183387897670269
272427,0.272427,-0.000598430633544922,0,-0.000598430633544922,-0.00586859977245331,-0.00586859977245331
283889,0.283889,0.0038149356842041,0,0.0038149356842041,0.0374117390275001,0.0374117390275001
295351,0.295351,0.00351572036743164,0,0.00351572036743164,0.0344774391412735,0.0344774391412735
306814,0.306814,0.00276768207550049,0,0.00276768207550049,0.0271416894257069,0.0271416894257069
318277,0.318277,0.00388967990875244,0,0.00388967990875244,0.0381447294771671,0.0381447294771671
329752,0.329752,0.0107713937759399,0,0.0107713937759399,0.105631288772821,0.105631288772821
341202,0.341202,0.00822818279266357,0,0.00822818279266357,0.0806909087836742,0.0806909087836742
352665,0.352665,0.00224399566650391,0,0.00224399566650391,0.0220060801029205,0.0220060801029205
364129,0.364129,0.00127160549163818,0,0.00127160549163818,0.0124701899945736,0.0124701899945736
375591,0.375591,0.000673174858093262,0,0.000673174858093262,0.00660159022212028,0.00660159022212028
387053,0.387053,-0.00755488872528076,0,-0.00755488872528076,-0.0740881495177746,-0.0740881495177746
398517,0.398517,-0.00209438800811768,0,-0.00209438800811768,-0.0205389301598072,-0.0205389301598072
421446,0.421446,0.000748038291931152,0,0.000748038291931152,0.00733574971556663,0.00733574971556663
432909,0.432909,0.00344085693359375,0,0.00344085693359375,0.0337432796478271,0.0337432796478271
444373,0.444373,-0.000523567199707031,0,-0.000523567199707031,-0.00513444027900696,-0.00513444027900696
